model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
Kimi K3,4,1,21.450013711891184,6000.0,128,46.620016818247194,49.175655025217296,1,0.74169921875,0.26883390808664476,0.26883390808664476,0.019208381904806858
Kimi K3,4,2,40.71801218922442,3150.0,128,49.10701648384078,55.02862068868589,1.0009930486593843,0.7420634920634921,0.5104001146618857,0.5104001146618857,0.022886575790311423
Kimi K3,4,3,55.745346576659095,2300.0,128,53.4255142913426,61.33402591351008,1.0100200400801602,0.7430555555555556,0.7013287505843866,0.7013287505843866,0.02552891643908616
Kimi K3,4,4,68.7478867011063,1900.0,128,57.98234550892342,66.00348287627435,1.0109835247129306,0.73193359375,0.8617433962371532,0.8617433962371532,0.026740642412583098
Kimi K3,4,5,61.403245656270755,2150.0,132,81.21293077308154,92.77941352631521,1.0251635631605436,0.76220703125,0.765360646778743,0.765360646778743,0.029005244371145746
Kimi K3,4,6,68.15296105551496,1900.0,128,87.40300105429097,97.14887048907947,1.0290456431535269,0.7687007874015748,0.8360786748406591,0.8360786748406591,0.031014337918612748
Kimi K3,4,7,74.75236953840795,1700.0,128,92.68935878156258,105.99814079438788,1.0438502673796792,0.7494918699186992,0.9116033529237638,0.9116033529237638,0.030040636024708956
Kimi K3,4,8,81.2985573100453,1600.0,130,97.5187967620977,110.16759775715184,1.048025613660619,0.7474798387096774,0.9908719224163991,0.9908719224163991,0.031352588841193414
Kimi K3,4,10,91.55326177844326,1400.0,129,107.36264551648955,123.17921275933499,1.0890527509926262,0.7520491803278688,0.9920674312505988,0.9920674312505988,0.038938259929118306
Kimi K3,4,15,115.01588047144486,1300.0,150,128.2788301437365,155.22560621053506,1.1251298026998962,0.7518115942028986,0.9840359328773303,0.9840359328773303,0.05203694936571316
Kimi K3,4,22,131.2990562398204,1700.0,224,161.42892242624904,192.57124196138383,1.203805342114892,0.7642441860465117,0.9928679538676972,0.9928679538676972,0.05570470254868946
Kimi K3,4,32,161.2539622179847,2050.0,327,195.86119932871023,247.56778450673758,1.3452047111609646,0.7409874608150471,0.9978290183769548,0.9978290183769548,0.0637179137915314
Kimi K3,4,46,196.44378601468816,2350.0,460,229.8158919178358,286.16237474639274,1.5714620431115276,0.7525568181818182,0.9999344314618939,0.9999344314618939,0.07734241241162418
Kimi K3,4,68,245.72189132533597,2800.0,680,273.3231996704909,336.3401474006014,1.9340529931305201,0.7478120243531202,0.9998757514259523,0.9998757514259523,0.09602904321682533
Kimi K3,4,100,309.98651038094266,3250.0,1000,320.88674827897955,392.5123939506998,2.469982847341338,0.7487050163576882,1.0,1.0,0.11570052536557028
Kimi K3,4,127,355.863539946542,3600.0,1270,355.11740371563064,445.0198188291273,2.9107114435779087,0.7473739495798319,0.9999807223590784,0.9999807223590784,0.1393824702617546
Kimi K3,5,1,21.46970634242294,6000.0,128,46.57725560149167,49.175655025217054,1,0.80712890625,0.2155599960117292,0.2155599960117292,0.01538889630594342
Kimi K3,5,2,41.40848047594319,3100.0,128,48.231515843683795,53.44511198798025,1.0009930486593843,0.7961309523809523,0.4156911356357572,0.4156911356357572,0.01805872398192526
Kimi K3,5,3,58.62404275743835,2200.0,128,51.0865640815715,58.220966921314954,1.0070493454179255,0.7845,0.5871018627407736,0.5871018627407736,0.018892684068727274
Kimi K3,5,4,72.6656140766286,1800.0,128,54.86381089218119,62.40078026386237,1.0141414141414142,0.7998046875,0.7279406585763252,0.7279406585763252,0.02189103824766523
Kimi K3,5,5,82.82205307438477,1550.0,128,59.56406566567216,67.42663519719576,1.0256673511293635,0.799,0.834139922877514,0.834139922877514,0.021905350840372977
Kimi K3,5,6,75.12394883555244,1750.0,129,79.66859565853629,92.77941352631521,1.0201511335012594,0.80078125,0.7448147238060477,0.7448147238060477,0.023866261662239506
Kimi K3,5,7,80.24120758185029,1600.0,129,85.15898165292771,94.61292222701812,1.030287474332649,0.8010912698412699,0.7959853008964279,0.7959853008964279,0.02515723632320115
Kimi K3,5,8,90.48985890077581,1450.0,130,88.2533867570261,102.84147977276257,1.0430622009569377,0.7987204724409449,0.8650225759679033,0.8650225759679033,0.024593882779393648
Kimi K3,5,10,101.51485237633317,1300.0,132,96.29284739684044,111.38039369829056,1.0710412147505424,0.7958984375,0.991598340533613,0.991598340533613,0.025266047438753495
Kimi K3,5,15,129.93110933557836,1150.0,150,113.44148594644858,131.4286278528129,1.1367389060887514,0.8048561151079137,0.9924357675208437,0.9924357675208437,0.03231864565047988
Kimi K3,5,22,154.62228326351342,1450.0,224,136.75767333591287,170.62766221389293,1.2150929639081298,0.7898255813953489,0.9956314952156837,0.9956314952156837,0.0424663762510929
Kimi K3,5,32,188.96171999373473,1700.0,321,168.32891055409024,197.68942883585643,1.3255282695602513,0.8090635738831615,0.9984400053137714,0.9984400053137714,0.052617873006502114
Kimi K3,5,46,224.13036641581238,2100.0,470,199.980035158031,235.59970012327398,1.5545311445918597,0.8037131519274376,1.0,1.0,0.061920693959408545
