scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,1,69.59612277559799,14.36861652802623,15.11649481224048,1.0,0.00461340823149214
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,2,137.6523720900016,14.53910656861815,15.922739344795227,1.001303780964798,0.0050823016703532235
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,3,203.01215809451185,14.784630421340053,16.550979873457823,1.001303780964798,0.006212856939514308
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,4,259.0959735226442,15.44103360631347,20.016167490369053,1.0040160642570282,0.006107015711088003
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,5,309.4654899451728,16.166523641385105,20.396086275793134,1.0126903553299493,0.008610607066015189
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,6,363.80128997797175,16.26424821711334,19.509922957814158,1.0132850241545894,0.00730480161884578
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,7,402.8744985296325,17.167244203388417,20.81429976637727,1.0112359550561798,0.009736753624046362
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,8,418.78314008332177,18.78066324224712,22.76290509192598,1.0191846522781776,0.00778576721573095
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,10,447.45534416161416,21.846754040867523,25.773762957814178,1.034993270524899,0.00921828263668804
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,15,563.6909888174882,25.681383244565946,31.965796428936585,1.0751381215469613,0.010991248846172993
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,22,658.0865319799823,32.15082025729072,39.34052667246428,1.149822695035461,0.012940643654741589
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,32,761.6572046459154,40.64085371065174,48.62443998582375,1.2201776649746192,0.014394371392986757
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,46,888.9079704996248,50.55136527598929,62.16660894747903,1.3733401430030643,0.015453785261689706
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,68,1008.1967425852177,64.93939170367561,79.22750360558254,1.6276288659793814,0.017939305514103606
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,100,1183.4429208277509,82.14710268935214,98.98355740339554,2.0310344827586206,0.019612294758607957
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,147,1451.9690340072896,100.79557937103041,114.85152434052861,2.876086956521739,0.02409347640796958
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,215,1577.040024624851,130.9576636996079,147.04446440250652,3.846053062561415,0.026144442745577583
